gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
40,40,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",101.000000000,193.000000000,
41,41,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",149.000000000,346.000000000,
41,41,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",83.000000000,166.000000000,
42,42,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",36.000000000,90.000000000,
42,42,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",204.000000000,323.000000000,
43,43,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",47.000000000,131.000000000,
43,43,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",135.000000000,350.000000000,
44,44,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",286.000000000,527.000000000,
44,44,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",137.000000000,221.000000000,
45,45,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",170.000000000,237.000000000,
45,45,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",336.000000000,538.000000000,
47,47,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",250.000000000,486.000000000,
47,47,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",138.000000000,245.000000000,
50,50,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",101.000000000,148.000000000,
50,50,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",42.000000000,99.000000000,
51,51,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",59.000000000,129.000000000,
51,51,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",175.000000000,250.000000000,
52,52,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",114.000000000,183.000000000,
52,52,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",82.000000000,144.000000000,
55,55,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",58.000000000,93.000000000,
55,55,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",98.000000000,142.000000000,
57,57,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",845.000000000,1079.000000000,
57,57,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",192.000000000,297.000000000,
57A,57A,,"Limited Service","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",81.000000000,158.000000000,
57A,57A,,"Limited Service","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",15.000000000,34.000000000,
59,59,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",142.000000000,180.000000000,
59,59,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",52.000000000,92.000000000,
60,60,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",101.000000000,168.000000000,
60,60,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",291.000000000,421.000000000,
62,62,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",124.000000000,165.000000000,
62,62,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",135.000000000,212.000000000,
64,64,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",96.000000000,154.000000000,
64,64,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",63.000000000,111.000000000,
